Age,Gender,Income,Total_Spend,Num_Purchases,Product_Category
56,Male,112421,4035.07,40,Electronics
69,Female,122244,2215.84,42,Clothing
46,Female,95584,3950.46,17,Groceries
32,Male,49950,2366.04,1,Clothing
60,Male,45173,4710.73,45,Groceries
25,Female,147743,2483.22,29,Groceries
38,Female,88032,2366.83,13,Clothing
56,Female,145074,3946.85,48,Electronics
36,Female,129273,4125.73,29,Clothing
40,Female,58036,2817.0,41,Electronics
28,Female,142857,981.01,42,Electronics
28,Female,101356,2392.02,6,Clothing
41,Male,44292,4843.56,5,Groceries
53,Female,33052,3789.63,34,Clothing
57,Female,74377,4074.7,11,Groceries
41,Male,119317,260.84,9,Electronics
20,Female,97838,2392.51,38,Groceries
39,Female,97819,3268.44,40,Clothing
19,Male,143689,4167.16,41,Groceries
41,Female,138103,341.44,9,Electronics
61,Male,45620,4276.95,8,Electronics
47,Male,60461,2787.16,44,Groceries
55,Male,50750,1066.84,40,Electronics
19,Male,128426,1654.55,3,Electronics
38,Female,118719,1481.45,13,Groceries
50,Male,39472,2701.21,19,Electronics
29,Male,99263,353.26,34,Groceries
39,Female,142036,876.83,32,Groceries
61,Male,87602,4082.2,49,Electronics
42,Male,55523,749.76,16,Groceries
66,Male,60766,1243.64,36,Electronics
44,Male,133262,2321.52,18,Electronics
59,Female,96060,2633.89,14,Electronics
45,Male,39079,3841.69,30,Clothing
33,Female,38399,2291.93,2,Electronics
32,Female,90726,3970.34,13,Groceries
64,Male,122906,3129.9,27,Groceries
68,Male,46532,654.19,17,Groceries
61,Male,112357,866.02,31,Clothing
69,Male,73162,2241.47,15,Clothing
20,Female,33749,2044.76,20,Groceries
54,Female,41353,3743.37,5,Groceries
68,Female,142313,2945.61,7,Clothing
24,Male,58477,2001.85,18,Groceries
38,Female,54570,936.73,11,Electronics
26,Male,116373,1211.5,32,Electronics
56,Male,41437,2919.95,27,Groceries
35,Male,68104,2174.85,26,Electronics
21,Male,93370,2623.14,37,Groceries
42,Male,34551,936.32,45,Clothing
31,Female,98359,3348.24,28,Groceries
67,Female,84880,4277.44,2,Clothing
26,Male,42916,1363.9,20,Electronics
43,Female,110703,2508.42,4,Electronics
19,Male,71445,4880.08,13,Electronics
37,Male,77636,1732.88,24,Groceries
45,Male,103927,3015.73,48,Clothing
64,Female,108194,541.96,38,Clothing
24,Male,59685,3069.47,40,Electronics
61,Male,81134,539.2,48,Electronics
25,Female,118916,4800.25,45,Clothing
64,Female,137967,3606.75,29,Groceries
52,Female,124455,3961.98,36,Electronics
31,Male,97847,3550.11,2,Groceries
34,Male,69993,2989.67,41,Electronics
53,Female,74333,2304.57,18,Electronics
67,Male,138574,4306.03,49,Groceries
57,Female,88865,4788.49,8,Groceries
21,Female,109096,2545.28,15,Groceries
19,Male,79756,4664.52,41,Groceries
23,Male,91192,2958.33,17,Clothing
59,Female,90686,2738.08,23,Clothing
21,Female,78733,2326.97,2,Electronics
46,Female,134089,1125.51,6,Electronics
35,Female,55993,118.23,29,Electronics
43,Male,60492,1283.38,27,Clothing
61,Female,50981,2597.64,37,Groceries
51,Female,54143,1961.8,49,Electronics
27,Female,107603,2297.58,34,Clothing
53,Male,119452,4905.18,18,Electronics
31,Male,90277,1816.33,42,Clothing
48,Female,137044,2315.7,10,Groceries
65,Male,141957,754.23,38,Clothing
32,Male,79990,334.99,44,Groceries
25,Male,92888,3899.51,17,Electronics
31,Female,99351,2896.35,13,Groceries
40,Female,127372,3827.45,48,Clothing
57,Male,79999,834.33,42,Electronics
38,Female,133013,2901.96,27,Electronics
33,Female,132811,1342.85,2,Clothing
62,Male,134879,1217.5,34,Groceries
35,Male,100309,156.48,31,Clothing
64,Female,42446,738.67,23,Groceries
41,Male,60733,1615.41,7,Groceries
43,Female,149156,672.71,38,Electronics
42,Female,106000,4930.71,33,Groceries
62,Male,78632,1612.3,12,Electronics
58,Female,51576,738.59,45,Clothing
46,Female,33320,1075.5,12,Clothing
32,Male,40750,2979.75,19,Electronics
62,Male,133002,413.81,9,Electronics
18,Male,83463,4325.93,10,Groceries
42,Female,56572,4811.35,17,Electronics
24,Male,148361,1309.06,40,Clothing
26,Male,47948,2305.47,39,Electronics
41,Male,146528,208.46,41,Electronics
18,Male,68826,3239.48,10,Electronics
61,Female,119051,2128.24,12,Groceries
25,Female,57867,1423.29,15,Electronics
41,Male,90231,1113.5,31,Groceries
28,Female,96262,3304.71,15,Groceries
68,Male,121356,2139.46,28,Electronics
34,Male,102233,980.33,4,Groceries
25,Female,74678,3476.63,36,Electronics
52,Female,137561,2868.85,1,Clothing
52,Male,42963,4307.49,44,Clothing
50,Male,94360,675.63,34,Groceries
22,Female,79434,3949.77,47,Clothing
59,Male,96617,3400.23,17,Electronics
